Order_ID,Customer_ID,Book_ID,Order_Date,Quantity,Total_Amount
1,84,169,26-05-2023,8,188.56
2,137,301,23-01-2023,10,216.6
3,216,261,27-05-2024,6,85.5
4,433,343,25-11-2023,7,301.21
5,14,431,26-07-2023,7,136.36
6,439,119,11-10-2024,5,249.4
7,195,467,23-10-2023,6,82.92
8,32,159,07-05-2024,4,144.84
9,109,407,04-01-2024,9,379.71
10,94,122,09-07-2024,4,123
11,131,206,16-10-2023,1,38.01
12,454,3,17-06-2024,2,31.5
13,420,180,08-06-2023,5,125.45
14,454,319,24-08-2023,2,85.22
15,127,479,10-01-2023,6,229.62
16,412,196,06-10-2023,8,53.52
17,462,481,20-03-2023,5,52.75
18,377,101,07-08-2024,4,193.96
19,496,60,17-11-2023,9,316.26
20,195,67,14-07-2023,1,10.23
21,356,287,05-12-2024,3,120.57
